property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Gaur city 2 Noida, Gaur City 2, 1400 sqft, Ready to Move, Ground out of 16,Resale, Furnished, North, Freehold, None, 2, 2, ₹97.2 Lac, ₹6 821 per sqft
3 BHK Apartment for Sale in Sector 120 Noida, Amrapali Zodiac, 1250 sqft, Ready to Move, 12 out of 22,New Property, Semi-Furnished, North - West, Freehold, None, 3, 3, ₹1.01 Cr, ₹5 690 per sqft
3 BHK Apartment for Sale in Sector 45  Noida Express Way Noida, East Sapphire, 1300 sqft, Ready to Move, Upper Basement out of 7,Resale, Unfurnished, East, Freehold, None, 3, 1, ₹65 Lac, ₹4 906 per sqft
3 BHK Builder Floor for Sale in Shahberi  Noida, None, 1260 sqft, Ready to Move, 2 out of 5,Resale, Furnished, North - East, Freehold, 1 Covered, 2, 1, ₹40 Lac, ₹3 175 per sqft
1 BHK Apartment for Sale in Sector 70 Noida, Aashiyana, 600 sqft, Ready to Move, 4 out of 4,Resale, Semi-Furnished, None, Freehold, None, 1, 1, ₹30 Lac, ₹5 000 per sqft
2 BHK Apartment for Sale in Sector 108  Noida Express Way Noida, Divine Meadows, 980 sqft, Ready to Move, 2 out of 14,Resale, Unfurnished, None, None, None, 2, 3, ₹77 Lac, ₹7 527 per sqft
2 BHK Apartment for Sale in Sector 53 Noida, Hardik Tower, 900 sqft, Ready to Move, 1 out of 5,Resale, Unfurnished, East, Leasehold, 1 Covered , 2, 1, ₹40 Lac, ₹3 941 per sqft
2 BHK Apartment for Sale in Noida Extension Noida, Mahagun Mywoods, 727 sqft, Ready to Move, 22 out of 22,Resale, Furnished, North - East, Freehold, None, 2, 3, ₹75 Lac, ₹6 757 per sqft
2 BHK Apartment for Sale in Noida Extension Noida, Mahagun Mywoods, 935 sqft, Ready to Move, 14 out of 22,Resale, Furnished, None, Freehold, None, 2, None, ₹75 Lac, ₹8 021 per sqft
3 BHK Builder Floor for Sale in Sector 135  Noida Express Way Noida, Today Ridge Residency, 1665 sqft, Ready to Move, 6 out of 20,Resale, Furnished, None, None, None, 3, 3, ₹85 Lac, ₹5 105 per sqft
2 BHK Apartment for Sale in Sector 150  Pusta Road Noida, Eldeco Live By The Greens, 668 sqft, Poss. by Sep '25, 17 out of 22,New Property, Semi-Furnished, East, Leasehold, None, 2, 3, ₹95 Lac, ₹8 355 per sqft
3 BHK Apartment for Sale in Sector 78 Noida, Mahagun Moderne, 1550 sqft, Ready to Move, 15 out of 22,Resale, Semi-Furnished, North, Leasehold, None, 3, 3, ₹1.65 Cr, ₹10 645 per sqft
2 BHK Apartment for Sale in Sector 43 Noida, Godrej Woods, 1053 sqft, Ready to Move, 10 out of 28,Resale, Semi-Furnished, East, Freehold, None, 2, 3, ₹1.68 Cr, ₹15 954 per sqft
3 BHK Apartment for Sale in Sector 74 Noida, Supertech Capetown, 1625 sqft, Ready to Move, 19 out of 19,Resale, Semi-Furnished, None, Freehold, None, 3, None, ₹1.11 Cr, ₹6 831 per sqft
3 BHK Apartment for Sale in Sector 74 Noida, Supertech ORB Noida, 2223 sqft, Ready to Move, 3 out of 30,Resale, Semi-Furnished, North, Freehold, 1 Covered, 3, 3, ₹1.65 Cr, ₹7 422 per sqft
5 BHK Villa for Sale in Hazipur  Sector 104  Noida Express Way Noida, None, 3200 sqft, Poss. by Aug '24, None,Resale, Unfurnished, North - East, Freehold, None, 5, 3, ₹1.75 Cr, ₹5 385 per sqft
3 BHK Apartment for Sale in Noida Extension Noida, None, 857 sqft, Ready to Move, 18 out of 19,Resale, Furnished, East, Freehold, 1 Covered , 2, 3, ₹52 Lac, ₹3 810 per sqft
1 BHK  House for Sale in Sector 115 Noida, None, 324 sqft, Ready to Move, 1 out of 2,Resale, Unfurnished, South - East, Freehold, None, 2, 1, ₹15 Lac, ₹4 630 per sqft
