property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Sholinganallur Chennai, Casagrand Royale, 1494 sqft, Ready to Move, 3 out of 7,Resale, Unfurnished, North, Power Of Attorney, None, 2, 1, ₹1.25 Cr, ₹8 367 per sqft
3 BHK Apartment for Sale in Kelambakkam Chennai, Vijay Shanthi Lotus Pond, 1157 sqft, Ready to Move, 7 out of 8,Resale, Furnished, East, Freehold, None, 3, 1, ₹46 Lac, ₹3 976 per sqft
2 BHK  House for Sale in Kavankarai Chennai, None, 600 sqft, Ready to Move, 1 out of 1,New Property, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹70 Lac, ₹5 833 per sqft
5 BHK  House for Sale in Besant Nagar Chennai, Besant Nagar, 4600 sqft, Ready to Move, None,Resale, Semi-Furnished, East, Freehold, None, 4, 3, ₹5.25 Cr, ₹11 413 per sqft
2 BHK Apartment for Sale in Medavakkam Chennai, None, 930 sqft, Ready to Move, 1 out of 3,New Property, Semi-Furnished, South, Freehold, 1 Covered, 2, 2, ₹56.3 Lac, ₹5 500 per sqft
6 BHK  House for Sale in Kovilpathagai Poompozhil Nagar Chennai, None, 3000 sqft, Ready to Move, 1 out of 2,Resale, Unfurnished, North, Freehold, 1 Covered , 3, 2, ₹90 Lac, ₹3 000 per sqft
2 BHK Apartment for Sale in East Tambaram Chennai, None, 1109 sqft, Ready to Move, 9 out of 13,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹69.2 Lac, ₹4 996 per sqft
3 BHK  House for Sale in Red Hills Chennai, None, 1350 sqft, Ready to Move, 3 out of 3,New Property, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 2, ₹55 Lac, ₹4 231 per sqft
3 BHK Apartment for Sale in Besant Nagar Chennai, None, 1700 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, West, Freehold, 2 Covered, 3, 1, ₹2.90 Cr, ₹16 477 per sqft
5 BHK  House for Sale in Padur Chennai, None, 9600 sqft, Ready to Move, None,Resale, Furnished, East, Freehold, None, 4, 2, ₹14 Cr, ₹14 000 per sqft
2 BHK Villa for Sale in Singaperumal Koil Chennai, Sai Vignesh Nagar, 1150 sqft, Ready to Move, None,New Property, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹45.7 Lac, ₹3 385 per sqft
3 BHK Villa for Sale in Thiruvanmiyur Chennai, Kottur Gardens, 1500 sqft, Ready to Move, None,New Property, Semi-Furnished, North, Freehold, 2 Covered, 3, 3, ₹2.27 Cr, ₹10 999 per sqft
2 BHK Apartment for Sale in Ramapuram Chennai, None, 1026 sqft, Ready to Move, 3 out of 3,New Property, Furnished, South, Freehold, None, 2, 1, ₹71.6 Lac, ₹6 979 per sqft
2 BHK Villa for Sale in Neelamangalam Chennai, None, 122 sqft, Ready to Move, None,New Property, Semi-Furnished, West, Freehold, 1 Covered, 2, None, ₹40 Lac, ₹5 263 per sqft
3 BHK Apartment for Sale in Iyyappanthangal Chennai, Prestige Bella Vista, 1600 sqft, Ready to Move, 14 out of 15,Resale, Semi-Furnished, East, Freehold, 1 Covered, 3, 2, ₹1.45 Cr, ₹7 945 per sqft
1 BHK Apartment for Sale in Siruseri Chennai, Urbanrise The World of Joy, 314 sqft, Poss. by May '25, 11 out of 19,New Property, Unfurnished, South, Freehold, 1 Covered, 1, 1, ₹30.8 Lac, ₹5 765 per sqft
3 BHK Apartment for Sale in Anna Nagar Chennai, None, 1555 sqft, Ready to Move, 10 out of 16,Resale, Unfurnished, South - East, Freehold, None, 2, 2, ₹1.65 Cr, ₹10 611 per sqft
2 BHK Apartment for Sale in Kandigai Chennai, Park Avenue, 900 sqft, Ready to Move, 2 out of 9,Resale, Unfurnished, South, Freehold, 1 Open, 2, 1, ₹33 Lac, ₹3 587 per sqft
2 BHK Apartment for Sale in Medavakkam Chennai, Casagrand Zenith, 1172 sqft, Ready to Move, 7 out of 14,New Property, Unfurnished, North, Freehold, 1 Covered, 2, 1, ₹70 Lac, ₹5 973 per sqft
2 BHK Apartment for Sale in Perungudi Chennai, Casagrand Esquire, 1198 sqft, Ready to Move, 1 out of 1,Resale, Unfurnished, East, Freehold, 1 Open, 2, 1, ₹82 Lac, ₹6 845 per sqft
3 BHK Apartment for Sale in Maduravoyal Chennai, None, 1319 sqft, Ready to Move, 4 out of 6,Resale, Unfurnished, West, Freehold, None, 3, 3, ₹1 Cr, ₹7 519 per sqft
3 BHK Apartment for Sale in Rathna Nagar Chennai, None, 4000 sqft, Ready to Move, 4 out of 4,Resale, Semi-Furnished, North, Freehold, 3 Covered, 4, 1, ₹7 Cr, ₹16 667 per sqft
2 BHK Apartment for Sale in Karapakkam Chennai, Doshi Risington, 800 sqft, Ready to Move, 10 out of 19,New Property, Unfurnished, West, Freehold, None, 2, 1, ₹84 Lac, ₹8 000 per sqft
4 BHK Villa for Sale in Injambakkam Chennai, None, 3138 sqft, Ready to Move, None,Resale, Semi-Furnished, North, Freehold, None, 4, 2, ₹5.25 Cr, ₹13 871 per sqft
3 BHK Builder Floor for Sale in Thoraipakkam Chennai, None, 1313 sqft, Ready to Move, 1 out of 3,New Property, Unfurnished, South - East, Freehold, 1 Covered, 2, 1, ₹75.8 Lac, ₹5 776 per sqft
