property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
4 BHK Villa for Sale in Bagaluru Bangalore, None, 4200 sqft, Ready to Move, None,Resale, Furnished, East, Freehold, 2 Covered, 4, 1, ₹5 Cr, ₹8 333 per sqft
3 BHK Apartment for Sale in Kalyan Nagar Bangalore, Sai Satyam, 1611 sqft, Ready to Move, 1 out of 7,Resale, Semi-Furnished, North, Freehold, 1 Covered, 3, None, ₹84 Lac, ₹5 214 per sqft
3 BHK Apartment for Sale in Tindlu Bangalore, None, 1900 sqft, Ready to Move, 3 out of 4,Resale, Unfurnished, North - East, None, None, 3, 4, ₹1.10 Cr, None
2 BHK Apartment for Sale in Royal County  Gottigere Bangalore, None, 1150 sqft, Ready to Move, Ground out of 17,Resale, Semi-Furnished, East, Freehold, None, 2, 3, ₹85 Lac, ₹5 986 per sqft
4 BHK Villa for Sale in Block 10th Stage 6th Banashankari Bangalore, None, 4000 sqft, Ready to Move, None,Resale, Semi-Furnished, East, Freehold, 4 Covered, 4, 3, ₹3.15 Cr, ₹7 000 per sqft
2 BHK Apartment for Sale in Electronic City Bangalore, Sapthagiri Rathna Clarinet Electronics City Phase 1, 1150 sqft, Ready to Move, 21 out of 31,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹90 Lac, ₹7 826 per sqft
4 BHK  House for Sale in Kurubarahalli Basaveshwar Nagar Bangalore, None, 2600 sqft, Ready to Move, Ground out of 2,Resale, Semi-Furnished, North, Freehold, 2 Covered, 4, None, ₹6 Cr, ₹23 077 per sqft
3 BHK Villa for Sale in V Kallahalli Bangalore, None, 1881 sqft, Ready to Move, None,Resale, Semi-Furnished, None, Freehold, 1 Covered , 3, None, ₹1.50 Cr, ₹7 143 per sqft
3 BHK Builder Floor for Sale in vakil landscape Bangalore, None, 2700 sqft, Ready to Move, Upper Basement out of 2,Resale, Semi-Furnished, East, Power Of Attorney, None, 2, 2, ₹4 Cr, ₹13 333 per sqft
5 BHK Apartment for Sale in HMT Layout Vidyaranyapura Bangalore, None, 2691 sqft, Ready to Move, Ground out of 3,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 4, 1, ₹1.80 Cr, ₹6 020 per sqft
5 BHK Villa for Sale in Whitefield Bangalore, None, 10749 sqft, Ready to Move, None,Resale, Semi-Furnished, East, Freehold, 4 Covered, 5, 3, ₹15.50 Cr, ₹14 091 per sqft
3 BHK Apartment for Sale in Uttarahalli Hobli Bangalore, SGS Classics, 1372 sqft, Ready to Move, 2 out of 5,Resale, Unfurnished, North, Freehold, None, 2, 2, ₹62 Lac, None
2 BHK  House for Sale in Naagarabhaavi Bangalore, None, 1000 sqft, Ready to Move, Ground out of 1,Resale, Semi-Furnished, None, None, 1 Covered , 2, None, ₹1.65 Cr, ₹13 750 per sqft
