property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in Tanish Pearls  Airport Road Pune, Tanish Pearls, 585 sqft, Ready to Move, 11 out of 12,Resale, Unfurnished, None, None, None, 2, 3, ₹40.5 Lac, ₹5 192 per sqft
3 BHK Apartment for Sale in AWHO Vijay Vihar  Wagholi Pune, AWHO Vijay Vihar, 1077 sqft, Ready to Move, 6 out of 14,New Property, Semi-Furnished, South -West, Freehold, None, 3, 2, ₹1.05 Cr, ₹7 000 per sqft
3 BHK Apartment for Sale in ARK Viman Platinum  Viman Nagar Pune, ARK Viman Platinum, 1200 sqft, Ready to Move, 4 out of 4,Resale, Unfurnished, None, None, None, 3, 2, ₹1.70 Cr, ₹9 714 per sqft
1 BHK Apartment for Sale in Navyangan  Pirangut Pune, Navyangan, 389 sqft, Ready to Move, 8 out of 12,Resale, Unfurnished, None, None, None, 1, 1, ₹27 Lac, None
2 BHK Apartment for Sale in Mayuri Enclave  Wagholi Pune, Mayuri Enclave, 940 sqft, Ready to Move, 6 out of 6,Resale, Unfurnished, West, Freehold, None, 1, 2, ₹43.5 Lac, ₹4 163 per sqft
1 BHK Apartment for Sale in Eco Park  Chovisawadi Pune, Eco Park, 615 sqft, Ready to Move, 9 out of 12,Resale, Unfurnished, West, Freehold, 1 Open, 1, 1, ₹34 Lac, ₹5 528 per sqft
1 BHK Apartment for Sale in Morya Angan   Hadapsar Pune, Morya Angan, 635 sqft, Ready to Move, 2 out of 4,Resale, Unfurnished, East, Co-operative Society, None, 1, 2, ₹42 Lac, ₹5 600 per sqft
2 BHK Apartment for Sale in Shivane Pune, None, 755 sqft, Ready to Move, 2 out of 5,Resale, Unfurnished, West, Freehold, None, 2, 1, ₹38 Lac, ₹5 033 per sqft
1 BHK Apartment for Sale in Oasis Custom Home  Narhe Pune, Oasis Custom Home, 550 sqft, Ready to Move, 3 out of 4,Resale, Unfurnished, East, Co-operative Society, None, 1, 1, ₹32 Lac, ₹5 079 per sqft
1 BHK Apartment for Sale in Mantra 7 Hills  Kirkatwadi Pune, Mantra 7 Hills, 586 sqft, Ready to Move, 5 out of 13,Resale, Unfurnished, North, Co-operative Society, 1 Open, 1, None, ₹27 Lac, ₹4 608 per sqft
1 BHK Apartment for Sale in Kudalwadi  Chikhali Pune, None, 536 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, East, Freehold, 2 Open, 1, 1, ₹35 Lac, ₹5 385 per sqft
3 BHK Apartment for Sale in Viman Nagar Pune, None, 1558 sqft, Poss. by Dec '24, 9 out of 10,Resale, Unfurnished, East, Freehold, None, 3, 2, ₹1.55 Cr, ₹9 981 per sqft
1 BHK Apartment for Sale in Shroff Srushti  Baner Pune, Shroff Srushti, 430 sqft, Ready to Move, 3 out of 4,Resale, Unfurnished, None, None, 301 Open, 1, None, ₹39 Lac, ₹7 091 per sqft
3 BHK Apartment for Sale in Rose Gardenia  Kiwale  Dehu Road Pune, Rose Gardenia, 1065 sqft, Poss. by Dec '25, 10 out of 14,Resale, Unfurnished, East, Co-operative Society, 1 Covered, 3, 2, ₹83 Lac, None
1 BHK  House for Sale in Ruston Colony Pune, None, 450 sqft, Ready to Move, 1 out of 1,Resale, Unfurnished, East, Freehold, None, 1, 1, ₹40 Lac, ₹6 667 per sqft
1 BHK Apartment for Sale in Ace Aastha  Charholi BK Pune, Ace Aastha, 300 sqm, Ready to Move, 2 out of 12,Resale, Unfurnished, East, Freehold, None, 1, 2, ₹31 Lac, ₹7 381 per sqft
3 BHK Apartment for Sale in Verde Residence collection  Kalyani Nagar Pune, Verde Residence collection, 2333 sqft, Ready to Move, 15 out of 20,Resale, Unfurnished, North - East, Freehold, None, 4, 3, ₹6.25 Cr, ₹19 968 per sqft
2 BHK Apartment for Sale in Atul Westernhills  Sus Pune, Atul Westernhills, 620 sqft, Ready to Move, 6 out of 12,Resale, Unfurnished, East, Freehold, None, 2, 2, ₹75 Lac, ₹12 097 per sqft
2 BHK Apartment for Sale in Wonder Futura Phase II  Kothrud Pune, Wonder Futura Phase II, 840 sqft, Ready to Move, 4 out of 6,Resale, Semi-Furnished, West, Co-operative Society, 1 Covered, 2, 1, ₹80 Lac, ₹8 000 per sqft
1 BHK Apartment for Sale in Kharalwadi Pune, None, 480 sqft, Ready to Move, 3 out of 5,Resale, Semi-Furnished, East, Freehold, None, 2, 1, ₹35.5 Lac, ₹6 121 per sqft
