property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
4 BHK Apartment for Sale in Elan The Presidential  Sector 106 Gurgaon, Elan The Presidential, 3075 sqft, Poss. by Dec '26, 10 out of 26,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 4, 4, ₹5 Cr, ₹16 260 per sqft
3 BHK Apartment for Sale in DLF Skycourt  Sector 86 Gurgaon, DLF Skycourt, 1902 sqft, Ready to Move, 10 out of 20,Resale, Semi-Furnished, None, Freehold, 2 Covered, 3, 3, ₹2.20 Cr, ₹11 567 per sqft
2 BHK Apartment for Sale in Pivotal Paradise  Sector 62 Gurgaon, Pivotal Paradise, 600 sqft, Ready to Move, 12 out of 15,Resale, Unfurnished, North, Freehold, 2 Open, 2, 2, ₹70 Lac, ₹7 000 per sqft
3 BHK Builder Floor for Sale in Sector 52 Gurgaon, None, 1250 sqft, Ready to Move, Ground out of 3,Resale, Furnished, East, Freehold, 1 Open, 3, None, ₹1.45 Cr, ₹11 600 per sqft
3 BHK Apartment for Sale in Ambience Creacions  Sector 22A Gurgaon, Ambience Creacions, 3090 sqft, Ready to Move, 8 out of 18,New Property, Unfurnished, None, Freehold, 1 Covered, 3, 2, ₹5.25 Cr, ₹16 990 per sqft
4 BHK Builder Floor for Sale in Palam Vihar Gurgaon, None, 3000 sqft, Ready to Move, 4 out of 4,New Property, Unfurnished, West, Freehold, None, 4, 4, ₹3.60 Cr, ₹9 474 per sqft
4 BHK Builder Floor for Sale in Phase 4 DLF Gurgaon, None, 2500 sqft, Ready to Move, 4 out of 4,New Property, Semi-Furnished, East, Freehold, 2 Covered, 4, 4, ₹4.50 Cr, ₹13 333 per sqft
4 BHK Apartment for Sale in The Ivy  Sushant Lok Gurgaon, The Ivy, 3860 sqft, Ready to Move, 4 out of 6,Resale, Semi-Furnished, South, Freehold, 2 Covered, 5, 3, ₹8.50 Cr, ₹22 021 per sqft
4 BHK Builder Floor for Sale in Sushant Lok-I  Sector 43 Gurgaon, None, 2200 sqft, Ready to Move, 4 out of 4,New Property, Semi-Furnished, West, Freehold, 2 Covered , 4, 3, ₹4.50 Cr, ₹16 667 per sqft
6 BHK  House for Sale in Sector 46 Gurgaon, None, 330 sqyrd, Ready to Move, Ground out of 1,Resale, Semi-Furnished, North - East, Freehold, 2 Covered , 6, 2, ₹8.08 Cr, ₹27 222 per sqft
3 BHK Apartment for Sale in Unitech Uniworld Garden II  Sector 47 Gurgaon, Unitech Uniworld Garden II, 1215 sqft, Ready to Move, 7 out of 15,Resale, Semi-Furnished, None, Leasehold, 2 Covered, 2, 2, ₹1.35 Cr, ₹11 111 per sqft
5 BHK Villa for Sale in Block C Sushant Lok Phase 1 Gurgaon, None, 4000 sqft, Ready to Move, None,Resale, Unfurnished, South, Freehold, None, 5, 3, ₹9.50 Cr, ₹15 833 per sqft
4 BHK Builder Floor for Sale in DLF The Grove  Sector 54 Gurgaon, DLF The Grove, 1300 sqft, Poss. by Oct '24, 3 out of 4,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 4, 2, ₹5.95 Cr, ₹23 800 per sqft
