property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Builder Floor for Sale in Naroda Ahmedabad, None, 1250 sqft, Ready to Move, 2 out of 5,Resale, Furnished, None, None, None, 2, None, ₹37 Lac, ₹2 960 per sqft
2 BHK Apartment for Sale in Jodhpur Village  Jodhpur Ahmedabad, None, 675 sqft, Ready to Move, 4 out of 7,Resale, Semi-Furnished, None, None, None, 2, 2, ₹80 Lac, ₹6 349 per sqft
2 BHK Apartment for Sale in Tragad Ahmedabad, None, 102 sqyrd, Ready to Move, 2 out of 13,Resale, Semi-Furnished, None, None, None, 2, None, ₹58 Lac, ₹6 318 per sqft
3 BHK Penthouse for Sale in Tragad Ahmedabad, None, 1460 sqft, Ready to Move, 10 out of 11,Resale, Semi-Furnished, None, None, None, 2, None, ₹95 Lac, ₹6 507 per sqft
4 BHK  House for Sale in Sarkhej Gandhinagar Highway Ahmedabad, None, 3105 sqft, Ready to Move, 2 out of 3,New Property, Semi-Furnished, East, Freehold, None, 5, 2, ₹5.11 Cr, ₹13 815 per sqft
2 BHK  House for Sale in New Maninagar Ahmedabad, None, 140 sqyrd, Ready to Move, None,Resale, Semi-Furnished, None, None, 1 Covered, 2, None, ₹38 Lac, ₹3 016 per sqft
3 BHK Apartment for Sale in Shivam Rudra Sky  Maninagar Ahmedabad, Shivam Rudra Sky, 145 sqyrd, Ready to Move, 1 out of 7,Resale, Furnished, None, Freehold, None, 3, 3, ₹1.20 Cr, ₹6 667 per sqft
1 BHK Apartment for Sale in tata Ahmedabad, None, 293 sqft, Ready to Move, 2 out of 5,Resale, Unfurnished, None, None, None, 1, 1, ₹11 Lac, ₹3 754 per sqft
4 BHK  House for Sale in Chanakyapuri Ahmedabad, None, 75 sqyrd, Ready to Move, None,Resale, Semi-Furnished, None, Freehold, None, 2, 2, ₹50 Lac, ₹7 407 per sqft
3 BHK Apartment for Sale in Shela Ahmedabad, None, 1500 sqft, Ready to Move, 8 out of 16,Resale, Furnished, None, None, None, 3, None, ₹80 Lac, ₹5 333 per sqft
3 BHK Apartment for Sale in Tragad Ahmedabad, None, 900 sqft, Ready to Move, 13 out of 15,Resale, Semi-Furnished, None, None, None, 3, None, ₹80 Lac, ₹8 889 per sqft
3 BHK  House for Sale in 204 Krishnadham row house near kharawala factory isanpur Ahmedabad, None, 1500 sqft, Ready to Move, 1 out of 3,Resale, None, None, None, None, 3, None, ₹70 Lac, ₹4 667 per sqft
3 BHK Apartment for Sale in Himalaya Zircon II Ahmedabad, None, 179 sqyrd, Ready to Move, 4 out of 5,Resale, Semi-Furnished, East, Freehold, None, 3, 3, ₹80 Lac, None
4 BHK Villa for Sale in Shrinand Villa Newmani Nagar Ahmedabad, None, 1550 sqft, Ready to Move, None,Resale, Semi-Furnished, None, None, None, 4, None, ₹96 Lac, ₹6 194 per sqft
2 BHK Apartment for Sale in Hanspura  Naroda Ahmedabad, None, 162 sqyrd, Ready to Move, 5 out of 7,Resale, Furnished, West, Freehold, None, 2, 2, ₹60 Lac, ₹4 115 per sqft
3 BHK Apartment for Sale in SP Nirvana Ahmedabad, None, 1700 sqft, Poss. by Dec '24, 2 out of 14,Resale, Unfurnished, None, None, None, 3, 3, ₹88 Lac, ₹5 176 per sqft
2 BHK Builder Floor for Sale in Vastrapur Ahmedabad, None, 700 sqft, Ready to Move, 1 out of 3,Resale, Semi-Furnished, None, None, None, 2, None, ₹48 Lac, ₹6 857 per sqft
2 BHK Apartment for Sale in Malay Heights  Janta nagar Ahmedabad, None, 1024 sqft, Ready to Move, 5 out of 7,Resale, Semi-Furnished, None, Co-operative Society, None, 2, None, ₹40 Lac, ₹3 906 per sqft
2 BHK Apartment for Sale in Opp: IOCL Pretol Pump Adalaj Ahmedabad, None, 52 sqyrd, Ready to Move, 1 out of 4,Resale, Semi-Furnished, None, None, None, 2, 1, ₹35 Lac, ₹3 382 per sqft
3 BHK  House for Sale in Bopal Ahmedabad, None, 225 sqyrd, Ready to Move, 1 out of 1,Resale, Unfurnished, East, None, None, 4, 2, ₹2.25 Cr, ₹11 111 per sqft
3 BHK  House for Sale in Changodar Ahmedabad, None, 1395 sqft, Ready to Move, Ground out of 2,Resale, Unfurnished, None, None, None, 3, None, ₹40 Lac, ₹2 867 per sqft
2 BHK Apartment for Sale in Narolgam Ahmedabad, None, 120 sqyrd, Ready to Move, 2 out of 6,Resale, Semi-Furnished, None, None, None, 2, None, ₹35 Lac, ₹3 241 per sqft
3 BHK Apartment for Sale in Shahibaug Ahmedabad, None, 220 sqyrd, Ready to Move, 4 out of 6,Resale, Furnished, None, None, None, 3, None, ₹1.61 Cr, ₹8 131 per sqft
2 BHK  House for Sale in Ahmedabad, None, 550 sqft, Ready to Move, Ground out of 1,Resale, Semi-Furnished, West, None, None, 2, 1, ₹27 Lac, ₹4 909 per sqft
2 BHK  House for Sale in Dholka Ahmedabad, None, 150 sqft, Ready to Move, None,Resale, Semi-Furnished, None, None, None, 2, None, ₹30 Lac, ₹20 000 per sqft
3 BHK Apartment for Sale in Aristo Crest  Gota Ahmedabad, Aristo Crest, 2079 sqft, Ready to Move, 10 out of 11,Resale, Furnished, None, Freehold, None, 2, 2, ₹1.20 Cr, ₹5 772 per sqft
3 BHK Apartment for Sale in Shilp Courtyard  Nigam Nagar  Chandkheda Ahmedabad, Shilp Courtyard, 1593 sqft, Ready to Move, 3 out of 3,Resale, Furnished, East, Freehold, None, 2, 1, ₹1.34 Cr, ₹8 475 per sqft
4 BHK  House for Sale in Sola Road Ahmedabad, None, 200 sqyrd, Ready to Move, Ground out of 2,Resale, Unfurnished, None, None, None, 3, None, ₹1.90 Cr, ₹10 556 per sqft
2 BHK Apartment for Sale in Nava Naroda Ahmedabad, None, 750 sqft, Ready to Move, 6 out of 8,Resale, Semi-Furnished, None, None, None, 2, None, ₹40 Lac, ₹5 333 per sqft
2 BHK Apartment for Sale in Chandkheda Ahmedabad, None, 133 sqyrd, Ready to Move, 4 out of 8,Resale, Furnished, None, None, None, 2, None, ₹48 Lac, ₹4 010 per sqft
6 BHK Villa for Sale in Naroda Ahmedabad, None, 345 sqyrd, Ready to Move, None,Resale, Semi-Furnished, None, None, None, 5, None, ₹5.30 Cr, ₹17 069 per sqft
1 BHK Apartment for Sale in Nava Naroda Ahmedabad, None, 76 sqyrd, Ready to Move, 4 out of 6,Resale, Unfurnished, None, None, None, 1, None, ₹22 Lac, ₹3 216 per sqft
1 BHK Apartment for Sale in Hridaya Kunj  Old Wadaj Ahmedabad, None, 190 sqft, None, 1 out of 3,Resale, Semi-Furnished, None, None, None, 1, 3, ₹30 Lac, ₹17 143 per sqft
3 BHK  House for Sale in Bopal Ahmedabad, None, None, Ready to Move, None,New Property, Unfurnished, None, Freehold, None, 3, None, ₹45 Lac, None
2 BHK Apartment for Sale in Pushparaj Residency  Chandlodiya Ahmedabad, Pushparaj Residency, 1188 sqft, Ready to Move, 3 out of 5,Resale, Furnished, None, None, None, None, 2, ₹55 Lac, ₹6 782 per sqft
3 BHK Apartment for Sale in Ahmedabad, None, 190 sqyrd, Ready to Move, 4 out of 7,Resale, Unfurnished, None, None, None, 3, 2, ₹1.38 Cr, ₹6 133 per sqft
1 BHK  House for Sale in Noble Nagar Tenament Ahmedabad, None, 1000 sqft, Ready to Move, None,Resale, Unfurnished, West, Power Of Attorney, None, 1, 1, ₹38 Lac, None
