property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in Summit Apartment  Goregaon East Mumbai, Summit Apartment, 981 sqft, Ready to Move, 16 out of 20,Resale, Unfurnished, South -West, Co-operative Society, None, 2, 3, ₹90 Lac, ₹9 174 per sqft
3 BHK Apartment for Sale in Santacruz West Mumbai, None, 1400 sqft, Ready to Move, 4 out of 6,Resale, Unfurnished, East, Co-operative Society, None, 3, 1, ₹5.25 Cr, ₹26 250 per sqft
3 BHK Apartment for Sale in Runwal Orchard Residency  Ghatkopar West Mumbai, Runwal Orchard Residency, 805 sqft, Ready to Move, 8 out of 15,Resale, Semi-Furnished, East, Co-operative Society, 1 Covered, 2, 3, ₹2.46 Cr, ₹18 088 per sqft
3 BHK Apartment for Sale in Rustomjee Elanza  Malad West Mumbai, Rustomjee Elanza, 885 sqft, Ready to Move, 20 out of 36,Resale, Furnished, East, Freehold, 1 Covered, 3, 3, ₹3.75 Cr, ₹28 736 per sqft
5 BHK Apartment for Sale in Wadhwa Imperial Heights  Goregaon West Mumbai, Wadhwa Imperial Heights, 1893 sqft, Ready to Move, 15 out of 44,Resale, Semi-Furnished, East, Freehold, 2 Covered, 5, 1, ₹6.10 Cr, ₹21 670 per sqft
3 BHK Apartment for Sale in Dheeraj Serenity  Santacruz West Mumbai, Dheeraj Serenity, 1500 sqft, Ready to Move, 7 out of 12,Resale, Unfurnished, North - East, Freehold, None, 3, 3, ₹7 Cr, ₹36 842 per sqft
4 BHK Apartment for Sale in Serenity Tower  Andheri West Mumbai, Serenity Tower, 1900 sqft, Ready to Move, 1 out of 9,Resale, Furnished, East, Freehold, 2 Covered, 5, 4, ₹8.50 Cr, ₹36 957 per sqft
4 BHK Apartment for Sale in Samartha Deep  Andheri West Mumbai, Samartha Deep, 1450 sqft, Ready to Move, 10 out of 18,Resale, Semi-Furnished, North - West, Freehold, 2 Covered, 4, None, ₹6.20 Cr, ₹29 880 per sqft
2 BHK Apartment for Sale in Central Area Mumbai, None, 810 sqft, Ready to Move, 12 out of 14,Resale, Unfurnished, East, Co-operative Society, 1 Open, 2, None, ₹1.95 Cr, ₹15 600 per sqft
4 BHK Villa for Sale in Brighton Tower  Lokhandwala Complex Andheri West Mumbai, Brighton Tower, 2500 sqft, Ready to Move, None,Resale, Furnished, North - West, Freehold, None, 5, 3, ₹18 Cr, ₹60 000 per sqft
2 BHK Villa for Sale in Goregaon West Mumbai, None, 500 sqft, Ready to Move, None,Resale, Semi-Furnished, East, Freehold, 1 Open, 2, None, ₹1.50 Cr, None
1 BHK Apartment for Sale in Sunnydale Apartment  Bandra West Mumbai, Sunnydale Apartment, 500 sqft, Ready to Move, 2 out of 7,Resale, Furnished, West, Co-operative Society, None, 1, None, ₹1.85 Cr, ₹26 429 per sqft
2 BHK Apartment for Sale in Ajmera I Land  Wadala Mumbai, Ajmera I Land, 902 sqft, Ready to Move, 24 out of 33,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹3.05 Cr, ₹24 206 per sqft
3 BHK Apartment for Sale in Indradarshan II  Oshiwara Mumbai, Indradarshan II, 1100 sqft, Ready to Move, 15 out of 15,Resale, Furnished, North, Freehold, 1 Open, 3, None, ₹4.25 Cr, ₹27 419 per sqft
3 BHK Apartment for Sale in Serenity Complex  Andheri West Mumbai, Serenity Complex, 1060 sqft, Ready to Move, 23 out of 27,New Property, Unfurnished, East, Freehold, 1 Covered, 3, 3, ₹3.75 Cr, ₹25 338 per sqft
6 BHK Apartment for Sale in Romell Shraddha  Borivali West Mumbai, Romell Shraddha, 1800 sqft, Ready to Move, 5 out of 10,Resale, Furnished, North, Freehold, None, 6, None, ₹5.45 Cr, ₹22 708 per sqft
2 BHK Apartment for Sale in krupa society Mumbai, None, 600 sqft, Ready to Move, 2 out of 3,Resale, Semi-Furnished, East, Freehold, None, 1, None, ₹2.75 Cr, ₹32 353 per sqft
2 BHK Apartment for Sale in Sahakar Revanta  Goregaon West Mumbai, Sahakar Revanta, 685 sqft, Poss. by Sep '26, Upper Basement out of 22,New Property, Unfurnished, North, Freehold, 1 Covered, 2, None, ₹1.99 Cr, ₹17 611 per sqft
4 BHK Apartment for Sale in India Bulls Sky Forest  Lower Parel Mumbai, India Bulls Sky Forest, 2153 sqft, Ready to Move, 36 out of 50,Resale, Unfurnished, None, None, None, 4, 4, ₹12.50 Cr, ₹35 714 per sqft
3 BHK Apartment for Sale in Rustomjee Seasons  Kala Nagar Mumbai, Rustomjee Seasons, 1064 sqft, Ready to Move, 11 out of 23,Resale, Semi-Furnished, East, Leasehold, 2 Covered, 3, 3, ₹6 Cr, ₹33 333 per sqft
2 BHK Apartment for Sale in Marina Enclave  Jankalyan Nagar Mumbai, Marina Enclave, 615 sqft, Ready to Move, None,Resale, Unfurnished, East, Co-operative Society, None, 2, None, ₹1.30 Cr, ₹12 808 per sqft
2 BHK Apartment for Sale in Orchid Suburbia  Kandivali West Mumbai, Orchid Suburbia, 616 sqft, Ready to Move, 15 out of 21,Resale, Furnished, East, Co-operative Society, 1 Covered, 2, 3, ₹2.15 Cr, ₹21 522 per sqft
3 BHK Apartment for Sale in Woods Maple Tower  Jogeshwari West Mumbai, Woods Maple Tower, 880 sqft, Ready to Move, 14 out of 20,Resale, Semi-Furnished, West, Co-operative Society, 1 Covered, 2, 3, ₹2.35 Cr, ₹18 800 per sqft
2 BHK Apartment for Sale in Shiv Asthan Heights  Bandra West Mumbai, Shiv Asthan Heights, 665 sqft, Ready to Move, 5 out of 14,Resale, Semi-Furnished, South -West, Freehold, 1 Covered, 2, None, ₹3.80 Cr, ₹41 758 per sqft
4 BHK Apartment for Sale in Joy Legend  Khar West Mumbai, Joy Legend, 2000 sqft, Ready to Move, 12 out of 22,New Property, Unfurnished, South -West, Co-operative Society, 2 Covered, 4, 1, ₹13 Cr, ₹59 091 per sqft
3 BHK Apartment for Sale in Gundecha Symphony  Andheri West Mumbai, Gundecha Symphony, 1100 sqft, Ready to Move, 18 out of 27,Resale, Furnished, North - East, Freehold, None, 3, 3, ₹3.60 Cr, ₹32 727 per sqft
3 BHK Apartment for Sale in The Makwana Om Palace  Malad West Mumbai, The Makwana Om Palace, 810 sqft, Ready to Move, 15 out of 22,Resale, Unfurnished, West, Freehold, 1 Covered, 4, None, ₹1.90 Cr, ₹16 522 per sqft
3 BHK Apartment for Sale in Siddha Seabrook  Kandivali West Mumbai, Siddha Seabrook, 1100 sqft, Ready to Move, None,New Property, Unfurnished, West, Freehold, None, 3, 1, ₹2.90 Cr, ₹17 576 per sqft
3 BHK Apartment for Sale in Evershine Crown  Kandivali East Mumbai, Evershine Crown, 897 sqft, Ready to Move, 16 out of 28,Resale, Unfurnished, East, Co-operative Society, None, 2, None, ₹2.70 Cr, ₹20 455 per sqft
2 BHK Apartment for Sale in Raveshia Aryana Heights  Ghatkopar East Mumbai, Raveshia Aryana Heights, 577 sqft, Poss. by Mar '25, 11 out of 16,New Property, Unfurnished, East, Leasehold, 1 Covered, 2, None, ₹1.30 Cr, ₹22 530 per sqft
3 BHK Apartment for Sale in Santacruz West Mumbai, None, 900 sqft, Ready to Move, 1 out of 13,Resale, Furnished, East, Freehold, 1 Covered, 3, None, ₹4.25 Cr, ₹30 357 per sqft
3 BHK Apartment for Sale in Wadhwa Dukes Horizon  Chembur Mumbai, Wadhwa Dukes Horizon, 1050 sqft, Ready to Move, 6 out of 16,Resale, Unfurnished, East, Freehold, 1 Covered, 3, 1, ₹3.50 Cr, ₹33 333 per sqft
2 BHK Apartment for Sale in Sher e Punjab  Andheri East Mumbai, Sher e Punjab, 750 sqft, Ready to Move, 5 out of 7,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 3, ₹1.90 Cr, ₹19 000 per sqft
2 BHK Apartment for Sale in Shivaji Park Mumbai, None, 750 sqft, Ready to Move, 12 out of 21,New Property, Unfurnished, West, Freehold, 1 Covered, 2, None, ₹4 Cr, ₹47 059 per sqft
1 BHK Apartment for Sale in Sahar Road Mumbai, None, 550 sqft, Ready to Move, 5 out of 7,Resale, Furnished, East, Freehold, 1 Covered, 2, 1, ₹1.50 Cr, ₹25 000 per sqft
3 BHK Apartment for Sale in Oberoi Springs  Andheri West Mumbai, Oberoi Springs, 950 sqft, Ready to Move, 30 out of 32,Resale, Semi-Furnished, North - East, Freehold, 2 Covered, 2, 1, ₹4.50 Cr, ₹35 156 per sqft
2 BHK Apartment for Sale in Vile Parle East Mumbai, None, 771 sqft, Poss. by Dec '25, 7 out of 12,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 1, ₹3.24 Cr, ₹30 900 per sqft
2 BHK Apartment for Sale in Ashok Nagar Complex  Andheri East Mumbai, Ashok Nagar Complex, 750 sqft, Ready to Move, 5 out of 11,Resale, Furnished, East, Freehold, 1 Open, 2, None, ₹1.70 Cr, ₹16 190 per sqft
