property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in DDA Flats Sarita Vihar  Sarita Vihar  Mathura Road New Delhi, DDA Flats Sarita Vihar, 1300 sqft, Ready to Move, 3 out of 4,Resale, Semi-Furnished, North - East, Freehold, None, 2, 3, ₹1.55 Cr, ₹11 923 per sqft
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi, None, 1800 sqft, Ready to Move, Ground out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 2, ₹6.50 Cr, ₹36 111 per sqft
3 BHK Apartment for Sale in Mayur Apartment  Sector 9 Rohini New Delhi, Mayur Apartment, 1300 sqft, Ready to Move, 4 out of 7,New Property, Semi-Furnished, North - East, Freehold, 1 Covered , 2, 1, ₹2.40 Cr, ₹18 462 per sqft
4 BHK Builder Floor for Sale in Janakpuri New Delhi, None, 3150 sqft, Poss. by Aug '25, 2 out of 4,New Property, Furnished, North - East, Freehold, 2 Covered , 4, 2, ₹7.45 Cr, ₹22 576 per sqft
4 BHK Builder Floor for Sale in Premium Builder Floors  Defence Colony New Delhi, Premium Builder Floors, 234 sqft, Ready to Move, 3 out of 4,New Property, Unfurnished, None, None, None, 5, 3, ₹7.50 Cr, ₹50 000 per sqft
4 BHK Builder Floor for Sale in Panchsheel Enclave New Delhi, None, 3600 sqft, Poss. by Dec '24, 1 out of 4,New Property, Semi-Furnished, North, Freehold, 3 Covered , 4, 4, ₹8.40 Cr, ₹23 333 per sqft
3 BHK Apartment for Sale in DDA Flats Sarita Vihar  Sarita Vihar  Mathura Road New Delhi, DDA Flats Sarita Vihar, 1900 sqft, Ready to Move, 1 out of 3,Resale, Semi-Furnished, North, Freehold, 2 Open, 2, 3, ₹1.80 Cr, ₹9 000 per sqft
3 BHK Builder Floor for Sale in Rani Bagh New Delhi, None, 150 sqyrd, Ready to Move, 1 out of 4,New Property, Semi-Furnished, North - East, Freehold, None, 3, 2, ₹1.39 Cr, ₹10 296 per sqft
3 BHK Apartment for Sale in Navin Minar  Patel Nagar New Delhi, None, 2307 sqft, Poss. by Aug '25, None,New Property, Unfurnished, None, None, 1 Covered, 3, None, ₹10.20 Cr, ₹44 213 per sqft
3 BHK Builder Floor for Sale in Defence Colony New Delhi, None, 2000 sqft, Ready to Move, 1 out of 4,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 2, ₹6.75 Cr, ₹33 750 per sqft
4 BHK Apartment for Sale in TARC Kailasa  Patel Road New Delhi, TARC Kailasa, 3315 sqft, Poss. by Jan '28, 10 out of 32,New Property, Furnished, East, Freehold, 3 Covered, 6, 4, ₹9.92 Cr, ₹23 363 per sqft
4 BHK Builder Floor for Sale in East Of Kailash New Delhi, None, 350 sqyrd, Ready to Move, Ground out of 4,Resale, Unfurnished, North - East, Freehold, 3 Covered, 4, 4, ₹10.50 Cr, ₹29 167 per sqft
4 BHK Builder Floor for Sale in Sector 23 Rohini New Delhi, None, 2200 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered , 4, 1, ₹2 Cr, ₹8 696 per sqft
4 BHK Apartment for Sale in Himachal Dauladhar  Dwarka New Delhi, Himachal Dauladhar, 1600 sqft, Ready to Move, Ground out of 9,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 1, ₹2.41 Cr, ₹13 389 per sqft
4 BHK Builder Floor for Sale in Vasant Vihar New Delhi, None, 2100 sqft, Ready to Move, 1 out of 5,New Property, Semi-Furnished, East, Freehold, 2 Covered , 4, 3, ₹8.49 Cr, ₹39 488 per sqft
3 BHK Apartment for Sale in Risland Sky Mansion  Chattarpur New Delhi, None, 3300 sqft, Ready to Move, None,New Property, Semi-Furnished, None, None, 1 Covered, 4, None, ₹6.29 Cr, ₹19 061 per sqft
3 BHK Apartment for Sale in DLF Capital Greens 1 and 2  New Moti Nagar  Kirti Nagar New Delhi, DLF Capital Greens 1 and 2, 1250 sqft, Ready to Move, 5 out of 28,Resale, Furnished, East, Freehold, 1 Covered, 3, 2, ₹3.30 Cr, ₹20 625 per sqft
4 BHK Builder Floor for Sale in Phase 2 Model Town New Delhi, None, 240 sqyrd, Ready to Move, 1 out of 4,New Property, Semi-Furnished, South, Freehold, None, 4, 2, ₹4.25 Cr, ₹18 889 per sqft
5 BHK  House for Sale in Nirman Vihar Preet Vihar New Delhi, None, 3240 sqft, Ready to Move, None,Resale, Semi-Furnished, North, Freehold, None, 2, 3, ₹15.75 Cr, ₹48 611 per sqft
3 BHK Builder Floor for Sale in Dwarka Mor New Delhi, None, 1160 sqft, Ready to Move, 1 out of 4,New Property, Furnished, East, Freehold, 1 Covered , 2, 1, ₹75 Lac, ₹6 356 per sqft
3 BHK Builder Floor for Sale in Uday Park  South Extension New Delhi, None, 1500 sqft, Ready to Move, 1 out of 4,New Property, Unfurnished, East, Freehold, 2 Covered , 4, 2, ₹4.99 Cr, ₹31 250 per sqft
3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi, None, 208 sqyrd, Ready to Move, Ground out of 3,New Property, Unfurnished, North - East, Freehold, 2 Covered, 4, 2, ₹4 Cr, ₹21 368 per sqft
3 BHK Builder Floor for Sale in Sector 8 Dwarka New Delhi, None, 1800 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 2, 2, ₹1.28 Cr, ₹6 737 per sqft
4 BHK Builder Floor for Sale in Vivek Vihar New Delhi, None, 300 sqyrd, Ready to Move, 1 out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered , 4, 2, ₹5.25 Cr, ₹19 444 per sqft
4 BHK Builder Floor for Sale in Vasant Vihar New Delhi, None, 2400 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 2 Covered, 5, None, ₹10.50 Cr, ₹43 750 per sqft
4 BHK Builder Floor for Sale in Panchsheel Park New Delhi, None, 3100 sqft, Ready to Move, 3 out of 4,New Property, Semi-Furnished, North - East, Freehold, 3 Covered , 6, 5, ₹13 Cr, ₹28 889 per sqft
4 BHK  House for Sale in Kalkaji New Delhi, None, 190 sqyrd, Ready to Move, Ground out of 3,Resale, Semi-Furnished, East, Freehold, 3 Covered , 4, 5, ₹7.99 Cr, ₹46 725 per sqft
4 BHK Apartment for Sale in Godrej Prima  Okhla Phase 1 New Delhi, Godrej Prima, 3501 sqft, Poss. by Dec '25, None,New Property, Semi-Furnished, None, None, 1 Covered, 3, None, ₹2.80 Cr, ₹7 998 per sqft
4 BHK Builder Floor for Sale in Harmony  Chattarpur New Delhi, Harmony, 1350 sqft, Ready to Move, 1 out of 5,New Property, Semi-Furnished, West, Freehold, 2 Covered, 3, 1, ₹1 Cr, ₹7 220 per sqft
3 BHK Apartment for Sale in St Columbas Apartments  Sector 7 Dwarka New Delhi, St Columbas Apartments, 1600 sqft, Ready to Move, 4 out of 10,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 3, ₹2.10 Cr, ₹11 667 per sqft
3 BHK Builder Floor for Sale in Chhatarpur Extension New Delhi, None, 1145 sqft, Ready to Move, 3 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹90 Lac, ₹7 004 per sqft
3 BHK Apartment for Sale in Lovely Home Apartment  Sector 5 Dwarka New Delhi, Lovely Home Apartment, 1650 sqft, Ready to Move, 1 out of 10,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 3, ₹2.30 Cr, ₹12 432 per sqft
3 BHK Apartment for Sale in Skylark Apartment  Sector 6 Dwarka New Delhi, Skylark Apartment, 1600 sqft, Ready to Move, 1 out of 8,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 2, 3, ₹2.45 Cr, ₹13 611 per sqft
4 BHK Apartment for Sale in Mayank Mansion  Sector 6 Dwarka New Delhi, Mayank Mansion, 2300 sqft, Ready to Move, 5 out of 6,Resale, Semi-Furnished, North - East, Freehold, 1 Covered , 3, 2, ₹2.95 Cr, ₹12 041 per sqft
4 BHK Apartment for Sale in DDA Flats Sarita Vihar  Sarita Vihar  Mathura Road New Delhi, DDA Flats Sarita Vihar, 1500 sqft, Ready to Move, Ground out of 4,Resale, Unfurnished, North, Freehold, 2 Open, 5, 1, ₹1.95 Cr, ₹10 833 per sqft
3 BHK Apartment for Sale in HCS Nature Plus  Chattarpur New Delhi, HCS Nature Plus, 1200 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, North - East, Freehold, 1 Covered, 2, 2, ₹57 Lac, ₹4 071 per sqft
4 BHK Builder Floor for Sale in Anand Niketan New Delhi, None, 2600 sqft, Ready to Move, 2 out of 4,New Property, Semi-Furnished, East, Freehold, 3 Covered , 5, 2, ₹12 Cr, ₹33 333 per sqft
4 BHK Builder Floor for Sale in Hauz Khas Enclave  Hauz Khas New Delhi, None, 5200 sqft, Ready to Move, 1 out of 4,New Property, Semi-Furnished, East, Freehold, 1 Covered, 4, 2, ₹7.25 Cr, ₹13 426 per sqft
