property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in Bharat City  Bhopura Ghaziabad, Bharat City, 965 sqft, Ready to Move, 2 out of 13,Resale, Unfurnished, West, Freehold, 1 Covered, 2, None, ₹38 Lac, ₹3 004 per sqft
4 BHK  House for Sale in Nandgram Ghaziabad, None, 450 sqft, Ready to Move, None,Resale, Semi-Furnished, East, Freehold, None, 2, 1, ₹43.5 Lac, ₹8 631 per sqft
2 BHK Apartment for Sale in Tila More Ghaziabad, None, 650 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 1, ₹25 Lac, ₹2 976 per sqft
3 BHK Apartment for Sale in Rise Organic Ghar  National Highway 24 Ghaziabad, Rise Organic Ghar, 1340 sqft, None, 5 out of 11,Resale, Semi-Furnished, None, None, None, 2, None, ₹60 Lac, ₹4 478 per sqft
3 BHK Apartment for Sale in Sector 2 Rajendra Nagar Ghaziabad, None, 1300 sqft, Ready to Move, 1 out of 4,New Property, Furnished, North - East, Freehold, None, 2, 1, ₹78 Lac, ₹6 000 per sqft
2 BHK Apartment for Sale in GDA Flats  Nyay Khand 2 Ghaziabad, GDA Flats, 550 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, North, None, None, 2, 1, ₹31 Lac, ₹4 769 per sqft
2 BHK Builder Floor for Sale in Vaishali Ghaziabad, None, 1080 sqft, Ready to Move, 4 out of 4,Other, Semi-Furnished, None, None, None, 2, None, ₹58 Lac, None
1 BHK Builder Floor for Sale in Shalimar Garden Ghaziabad, None, 480 sqft, Ready to Move, 1 out of 5,Resale, Furnished, None, None, None, 1, None, ₹20 Lac, ₹4 167 per sqft
3 BHK Apartment for Sale in Shakti Khand II  Shakti Khand 3 Ghaziabad, Shakti Khand II, 620 sqft, Ready to Move, Ground out of 3,Resale, Semi-Furnished, None, None, None, 2, 1, ₹40 Lac, ₹6 452 per sqft
2 BHK Apartment for Sale in Gaur Global Village  Crossings Republik Ghaziabad, Gaur Global Village, 850 sqft, Ready to Move, 9 out of 19,Resale, Furnished, East, Freehold, 54 Covered, 2, 2, ₹50 Lac, ₹4 762 per sqft
3 BHK Builder Floor for Sale in Vijay Nagar Ghaziabad, None, 1200 sqft, Ready to Move, 3 out of 4,Resale, Semi-Furnished, North, Freehold, None, 2, 1, ₹1.20 Cr, ₹12 000 per sqft
2 BHK Apartment for Sale in Shyam park metro station Ghaziabad, None, 406 sqft, Ready to Move, 2 out of 2,Resale, Semi-Furnished, East, Freehold, None, 2, None, ₹23 Lac, ₹5 665 per sqft
3 BHK Builder Floor for Sale in Shalimar Garden Extension 2 Ghaziabad, None, 2100 sqft, Ready to Move, Ground out of 3,Resale, Furnished, None, None, None, 2, None, ₹1.50 Cr, ₹7 143 per sqft
2 BHK Apartment for Sale in Flora Enclave  Gangapuram Ghaziabad, Flora Enclave, 750 sqft, Ready to Move, 3 out of 3,Resale, Semi-Furnished, None, None, None, 2, 1, ₹30 Lac, ₹3 947 per sqft
1 BHK Apartment for Sale in Sector 6 Vaishali Ghaziabad, None, 470 sqft, Ready to Move, None,Resale, Furnished, None, None, 1 Open, 1, 1, ₹23 Lac, ₹4 894 per sqft
2 BHK Builder Floor for Sale in Shakti Khand 3 Ghaziabad, None, 1200 sqft, Ready to Move, 1 out of 2,New Property, Semi-Furnished, None, Freehold, None, 2, 1, ₹50 Lac, ₹4 167 per sqft
1 BHK Apartment for Sale in GDA Block B  Lajpat Nagar Ghaziabad, GDA Block B, 400 sqft, Ready to Move, 2 out of 3,Resale, Semi-Furnished, East, Freehold, None, 1, 1, ₹20 Lac, ₹5 000 per sqft
2 BHK Builder Floor for Sale in Vaishali Ghaziabad, None, 700 sqft, Ready to Move, Ground out of 2,Resale, Semi-Furnished, None, None, 1 Open, 2, 2, ₹41 Lac, ₹5 857 per sqft
3 BHK Apartment for Sale in Bharat City  Bhopura Ghaziabad, Bharat City, 1265 sqft, Ready to Move, 5 out of 13,Resale, Furnished, None, None, None, 2, None, ₹42.7 Lac, ₹3 375 per sqft
2 BHK Apartment for Sale in Divyansh Raghav Homes  Niti Khand 1 Ghaziabad, Divyansh Raghav Homes, 600 sqft, Ready to Move, Ground out of 2,Resale, Semi-Furnished, East, Freehold, None, 2, 1, ₹37 Lac, ₹5 286 per sqft
2 BHK Apartment for Sale in Pratap Vihar Ghaziabad, None, 431 sqm, Ready to Move, 3 out of 3,Resale, Unfurnished, None, Freehold, None, 2, 1, ₹26 Lac, ₹6 032 per sqft
